FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
images,http://sauna.htb/images,http://sauna.htb/images/,3,301,147,9,2,
blog.html,http://sauna.htb/blog.html,,36,200,24692,11588,471,
index.html,http://sauna.htb/index.html,,2,200,32792,15329,684,
contact.html,http://sauna.htb/contact.html,,22,200,15631,7370,326,
about.html,http://sauna.htb/about.html,,24,200,30949,14043,641,
Images,http://sauna.htb/Images,http://sauna.htb/Images/,377,301,147,9,2,
css,http://sauna.htb/css,http://sauna.htb/css/,1071,301,144,9,2,
Contact.html,http://sauna.htb/Contact.html,,1156,200,15631,7370,326,
About.html,http://sauna.htb/About.html,,1164,200,30949,14043,641,
Index.html,http://sauna.htb/Index.html,,1290,200,32792,15329,684,
Blog.html,http://sauna.htb/Blog.html,,2042,200,24692,11588,471,
fonts,http://sauna.htb/fonts,http://sauna.htb/fonts/,5513,301,146,9,2,
IMAGES,http://sauna.htb/IMAGES,http://sauna.htb/IMAGES/,7317,301,147,9,2,
INDEX.html,http://sauna.htb/INDEX.html,,10142,200,32792,15329,684,
Fonts,http://sauna.htb/Fonts,http://sauna.htb/Fonts/,11135,301,146,9,2,
single.html,http://sauna.htb/single.html,,12872,200,38056,20403,685,
CSS,http://sauna.htb/CSS,http://sauna.htb/CSS/,16921,301,144,9,2,
CONTACT.html,http://sauna.htb/CONTACT.html,,46600,200,15631,7370,326,
,http://sauna.htb/,,90451,200,32792,15329,684,
ABOUT.html,http://sauna.htb/ABOUT.html,,107250,200,30949,14043,641,
